Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%)
RS,2025-08-05,Bearish,285.135,-7.359495279336141
CSL,2025-08-07,Bearish,366.73,-5.076539158045711
GGG,2025-08-05,Bearish,83.49,-1.9032248900923026
SAIA,2025-07-25,Bullish,283.62,-3.7174231711563035
OC,2025-08-06,Bullish,143.89,1.5404247488582383
WSO,2025-08-04,Bearish,410.92,-10.687362199661802
RPM,2025-07-24,Bullish,119.64,6.259270729790126
DT,2025-08-06,Bearish,46.23,-12.54136936416727
BURL,2025-07-10,Bullish,271.235,12.714001915543749
GLPI,2025-07-21,Bearish,45.92,-3.0094466649186447
FBIN,2025-07-24,Bullish,56.06,4.504794586231946
TTC,2025-07-10,Bullish,73.81,1.4877563841369583
CUBE,2025-07-18,Bearish,38.83,-7.854430389729954
TREX,2025-07-11,Bullish,59.76,3.0544370891626347
SCI,2025-07-25,Bearish,80.535,1.9634352524658643
KNX,2025-07-31,Bearish,41.13,-7.974580035480411
NLY,2025-07-11,Bullish,20.605,6.393876505334847
TXRH,2025-08-08,Bearish,172.9,-6.288084084362107
KNSL,2025-07-31,Bearish,438.625,-6.731693393851717
ATR,2025-08-05,Bearish,140.765,-8.472674260168302
UNM,2025-07-30,Bearish,69.43,-12.81865832347069
EGP,2025-07-10,Bearish,161.11,-4.667603356881654
EXP,2025-07-24,Bullish,225.3,5.065738493513785
MTN,2025-08-05,Bearish,148.77,-4.698035815380881
PRI,2025-07-11,Bearish,257.67,-4.104638282057225
GNTX,2025-07-10,Bullish,26.63,18.894647211759445
LAD,2025-07-28,Bearish,292.09,-9.956751344248433
OLED,2025-08-04,Bearish,137.63,-8.105777732564166
AFG,2025-08-07,Bullish,129.35,2.909267648947484
MIDD,2025-08-06,Bearish,119.76,-16.849172668084424
JAZZ,2025-07-22,Bullish,111.28,-0.15619537372956493
LNW,2025-08-08,Bearish,78.87,-14.670476115032175
PVH,2025-07-25,Bullish,72.92,0.025705541042021156
RGLD,2025-07-10,Bearish,168.96,-2.6603637794255093
EHC,2025-07-22,Bearish,117.6,2.1103711878848075
OHI,2025-07-16,Bullish,39.97,7.818088484389102
UFPI,2025-08-01,Bearish,97.76,-4.069725295725324
MORN,2025-07-15,Bearish,258.77,-14.418008509413038
ORI,2025-07-11,Bearish,37.37,-0.37688649527146334
NYT,2025-08-06,Bullish,57.48,6.055328379382265
INGR,2025-07-18,Bearish,126.36,-7.063094530886452
FR,2025-07-30,Bearish,48.045,-3.074701276788005
FCN,2025-07-24,Bullish,167.41,1.4178420647453238
SAIC,2025-07-10,Bullish,116.65,3.7717042291761085
BRX,2025-07-22,Bullish,25.56,-0.5513263845808041
RRC,2025-07-21,Bearish,34.575,-10.509572665802391
STAG,2025-08-01,Bearish,34.62,-2.5274761535380854
NOV,2025-08-04,Bearish,11.9,-8.648034885305913
HQY,2025-07-24,Bearish,93.07,-5.9608465233096535
EQH,2025-07-30,Bearish,51.99,-1.4289162581867068
MAT,2025-07-29,Bearish,17.135,-9.78250201092321
FNF,2025-08-08,Bullish,58.29,2.907182325533444
BRKR,2025-08-01,Bearish,30.415,-25.069542390639004
DAR,2025-08-01,Bearish,30.65,-12.290643919865252
FNF,2025-08-08,Bullish,58.29,2.907182325533444
WH,2025-07-17,Bullish,83.96,-1.5290412735121064
CFR,2025-08-08,Bearish,123.26,-4.933182894448938
OGE,2025-07-21,Bullish,45.36,2.4576301956548288
CROX,2025-08-01,Bearish,75.24,-27.403286990441593
EXEL,2025-08-01,Bearish,37.73,-10.162589918656087
