Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%)
RS,2025-08-05,Bearish,293.66,-4.589739177665357
CSL,2025-08-07,Bearish,398.98001,3.270647548526881
GGG,2025-08-05,Bearish,87.52,2.831721348148596
SAIA,2025-07-25,Bullish,313.20999,6.32719011275457
OC,2025-08-06,Bullish,155.41,9.669612951354544
WSO,2025-08-04,Bearish,432.57999,-5.979702979492663
RPM,2025-07-24,Bullish,125.55,11.508006203869266
DT,2025-08-06,Bearish,47.8,-9.571368563377373
GLPI,2025-07-21,Bearish,46.25,-2.312416207418922
FBIN,2025-07-24,Bullish,60.59,12.948552063363234
CUBE,2025-07-18,Bearish,39.54,-6.169676669793138
SCI,2025-08-12,Bullish,82.050003,4.052552414717448
KNX,2025-07-31,Bearish,44.09,-1.35222930901962
TXRH,2025-08-08,Bearish,175.17,-5.05586752008596
KNSL,2025-07-31,Bearish,452.01001,-3.8857923912053374
WTRG,2025-08-12,Bullish,39.17,3.3076216942621204
ATR,2025-08-05,Bearish,141.42999,-8.040421922556854
UNM,2025-07-30,Bearish,71.010002,-10.834765432916562
EXP,2025-07-24,Bullish,241.22,12.489384680908609
MTN,2025-08-05,Bearish,154.84,-0.8099136272993116
LAD,2025-07-28,Bearish,315.079987,-2.8698684801189325
OLED,2025-08-04,Bearish,145.14,-3.092309045164237
AFG,2025-08-07,Bullish,133.8,6.4495808297960835
MIDD,2025-08-06,Bearish,137.98,-4.198956142677197
JAZZ,2025-07-22,Bullish,117.12,5.083748332998448
LNW,2025-08-08,Bearish,88.52,-4.229470899762142
PVH,2025-07-25,Bullish,77.48,6.280366089607196
EHC,2025-08-13,Bullish,119.13,4.228860916011164
OHI,2025-07-16,Bullish,40.4,8.978159547473728
NNN,2025-08-11,Bearish,41.61,-1.653392897521185
UFPI,2025-08-01,Bearish,106.28,4.290536440839005
MORN,2025-07-15,Bearish,261.049988,-13.664234739844813
NYT,2025-08-06,Bullish,60.62,11.848793740021298
INGR,2025-07-18,Bearish,127.9,-5.93048590304921
FR,2025-07-30,Bearish,49.02,-1.1078911486288332
FCN,2025-07-24,Bullish,169.080002,2.4293538772149343
